h,den,ve,k,vis,sp,d,angle
990.2,639.5,1.05,0.08,0.215,0.657,0.0254,0.1047
541.68,866.5,0.86,0.066,3.9,0.591,0.0254,0.1745
421.42,865,0.6,0.066,3.9,0.5925,0.0254,0.2094
555.12,844.5,0.94,0.063,2.4,0.6285,0.0254,0.1396
986.64,684,1.11,0.0655,0.275,0.698,0.0254,0.1571
628.58,807,0.98,0.058,1.3,0.6895,0.0254,0.1047
1086.32,646.5,1.28,0.078,0.225,0.675,0.0254,0.1047
986.64,712,0.95,0.0705,0.345,0.662,0.0254,0.1396
1607.1,986.9,0.79,0.281,1.854,0.9288,0.01905,0.1047
3103.1,972,0.99,0.3204,0.4647,0.9035,0.01905,0.1571
1224.3,713,1.25,0.09745,0.41685,0.50675,0.01905,0.2094
1243.2,686.23,1.3,0.089,0.3075,0.54445,0.01905,0.2094
